period,uf,filename,source_url,accessed_at,last_modified,etag,remote_size_bytes,local_relative_path,local_size_bytes,sha256,status,error_class
202412,RO,pda-024-icb-RO-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-RO-2024_12.zip,2026-08-24T12:06:51.842199+00:00,"Wed, 05 Aug 2026 13:08:37 GMT","""1c802d-6584c78315725""",1867821,202412/pda-024-icb-RO-2024_12.zip,1867821,21abb1a9985261c5a1942cf177f0010e03f53bc5e10543d893f460cb7d45ed88,complete,
202412,RR,pda-024-icb-RR-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-RR-2024_12.zip,2026-08-24T12:07:18.827751+00:00,"Wed, 05 Aug 2026 13:09:38 GMT","""386a6-6584c7bd89fcb""",231078,202412/pda-024-icb-RR-2024_12.zip,231078,93d09acf59276eda0c6e46605afda1d6a8688ff71452174943277ddf719198bf,complete,
202412,RS,pda-024-icb-RS-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-RS-2024_12.zip,2026-08-24T12:08:14.851763+00:00,"Wed, 05 Aug 2026 13:08:43 GMT","""16d0d34-6584c788e11b9""",23924020,202412/pda-024-icb-RS-2024_12.zip,23924020,2f07f000a893e1bdf046500be5a3be357fa01f1a27bddde6b7fb062f8621bc97,complete,
202412,SC,pda-024-icb-SC-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-SC-2024_12.zip,2026-08-24T12:09:15.752031+00:00,"Wed, 05 Aug 2026 13:08:48 GMT","""1100600-6584c78d150c7""",17827328,202412/pda-024-icb-SC-2024_12.zip,17827328,c7d99113aed0ebd0ef35ce34a45d2bd3f13efcc3d10d48c4dd4a4712c5d51b71,complete,
202412,SE,pda-024-icb-SE-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-SE-2024_12.zip,2026-08-24T12:09:51.068349+00:00,"Wed, 05 Aug 2026 13:09:39 GMT","""2baab4-6584c7be4a9dd""",2861748,202412/pda-024-icb-SE-2024_12.zip,2861748,568ecf4fca723d6eae95229b0660e1a7231b3aa6abd6572ab47814e86f4f7ba0,complete,
202412,SP,pda-024-icb-SP-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-SP-2024_12.zip,2026-08-24T12:11:06.927759+00:00,"Wed, 05 Aug 2026 13:09:20 GMT","""82ff0e9-6584c7ac732d5""",137359593,202412/pda-024-icb-SP-2024_12.zip,137359593,25e995fde8bc07c0d66dfa9f607b874c60efaab958234efe86535f6dd34effb5,complete,
202412,TO,pda-024-icb-TO-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-TO-2024_12.zip,2026-08-24T12:13:01.968375+00:00,"Wed, 05 Aug 2026 13:09:40 GMT","""1dbe56-6584c7becfeb3""",1949270,202412/pda-024-icb-TO-2024_12.zip,1949270,00078ca1df754402c8d1eec2a13c2bf4a24664f628c081dc10d127ba84d4d5e2,complete,
202412,XX,pda-024-icb-XX-2024_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202412/pda-024-icb-XX-2024_12.zip,2026-08-24T12:13:11.945588+00:00,"Wed, 05 Aug 2026 13:09:21 GMT","""2660b-6584c7ac91b1f""",157195,202412/pda-024-icb-XX-2024_12.zip,157195,a9a1dcb5357b064d5739f34ca1764709abf106e7feb4d2e13edddff8a897d56c,complete,
202512,AC,pda-024-icb-AC-2025_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202512/pda-024-icb-AC-2025_12.zip,2026-08-24T12:13:20.582398+00:00,"Wed, 05 Aug 2026 13:29:45 GMT","""5ff63-6584cc3ccc638""",393059,202512/pda-024-icb-AC-2025_12.zip,393059,77d3e2c80cbb5614a9fe4196a11f792f6361b003c56d53a958d9355b9fce8326,complete,
202512,AL,pda-024-icb-AL-2025_12.zip,https://dadosabertos.ans.gov.br/FTP/PDA/informacoes_consolidadas_de_beneficiarios-024/202512/pda-024-icb-AL-2025_12.zip,2026-08-24T12:13:39.520732+00:00,"Wed, 05 Aug 2026 13:29:46 GMT","""326e35-6584cc3daa8f6""",3305013,202512/pda-024-icb-AL-2025_12.zip,3305013,d8f66d88dc222bbf64615e822a405182b319dd2220b3617b93c15310ac1dc5ac,complete,
