source_dataset,cohort,competence_month,n_unique_aih,n_active_hospitals,n_active_provider_municipalities,source_artifact,source_sha256,year,adult_population,total_population,denominator_population,rate_per_100k,denominator_definition
monthly_observed_uptake,B,202406,774,161.0,108.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202407,709,165.0,111.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202408,716,175.0,120.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202409,774,175.0,120.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202410,692,169.0,115.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202411,667,173.0,122.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202412,737,172.0,117.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202501,703,175.0,118.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202502,705,169.0,114.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,B,202503,728,189.0,123.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
