source_dataset,cohort,year,res_municipio,observed_treatment,self_sufficiency,n_destinations,destination_hhi,destination_diversity_entropy,main_destination,main_destination_share,cross_municipality_share,cross_state_share,adult_population,potential_coverage_120,potential_coverage_180,ivs,n_aih_display,source_artifact,source_sha256
suppressed_service_area,A,2022,521690,False,NA,0,NA,NA,NA,NA,NA,NA,1841.0,False,True,0.331,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521710,False,NA,0,NA,NA,NA,NA,NA,NA,20082.0,True,True,0.29,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521720,False,NA,0,NA,NA,NA,NA,NA,NA,9375.0,False,False,0.252,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521730,False,NA,0,NA,NA,NA,NA,NA,NA,20963.0,True,True,0.26,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521740,True,0.0,1,1.0,-0.0,520870.0,1.0,1.0,0.0,25894.0,False,True,0.202,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521760,True,0.0,1,1.0,-0.0,530010.0,1.0,1.0,1.0,76011.0,False,True,0.405,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521770,False,NA,0,NA,NA,NA,NA,NA,NA,14759.0,True,True,0.345,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521800,False,NA,0,NA,NA,NA,NA,NA,NA,34310.0,False,True,0.257,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521805,False,NA,0,NA,NA,NA,NA,NA,NA,2998.0,True,True,0.232,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521810,False,NA,0,NA,NA,NA,NA,NA,NA,2540.0,True,True,0.295,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521830,False,NA,0,NA,NA,NA,NA,NA,NA,25740.0,False,False,0.405,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521839,False,NA,0,NA,NA,NA,NA,NA,NA,2906.0,True,True,0.297,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521850,True,0.0,2,0.6800000000000002,0.5004024235381879,521930.0,0.8,1.0,0.2,37722.0,True,True,0.234,5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521860,False,NA,0,NA,NA,NA,NA,NA,NA,9571.0,False,True,0.204,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521870,False,NA,0,NA,NA,NA,NA,NA,NA,3203.0,False,True,0.238,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
suppressed_service_area,A,2022,521878,True,0.0,1,1.0,-0.0,520870.0,1.0,1.0,0.0,2918.0,False,True,0.148,<5,aim3_service_area_residence_display_v2.csv,823850cac6eef1cf4275e1d39aa26753488b5f7f5a80c9b0a093e6e83525d4fe
