source_dataset,year,municipio,adult_population,total_population,n_provider_municipalities_120,n_provider_municipalities_180,has_provider_120,has_provider_180,anchor_available,monotonic,source_artifact,source_sha256
municipality_coverage,2023,251170,3892.0,5470.0,2,3,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251180,6988.0,9525.0,2,5,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251190,12027.0,17172.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251200,12933.0,17948.0,1,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251203,2896.0,3915.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251207,3206.0,4101.0,0,1,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251210,25882.0,33753.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251220,2996.0,4006.0,0,2,False,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251230,16058.0,21654.0,0,0,False,False,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251240,10707.0,14713.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
municipality_coverage,2023,251250,36208.0,49637.0,2,4,True,True,True,True,municipality_year_coverage.parquet,c0a9ac050a5eef0b7e0881c9c8568f3fe5a0945429eaaa5f8793a3504377a099
